"ID";"Heure";"Valeur"
1063246;3;1,94866673324678
1063246;4;1,07979626485569
1063246;5;1,41895535803456
1063246;6;1,76530510336562
1063246;7;0,964745830420453
1063246;8;1,06062119244982
1063246;9;1,49086187955658
1063246;10;1,14690901827624
1063246;11;1,53280735044442
1063246;12;0,824528113452512
1063246;13;0,254069709377809
1063246;14;0,345151303305703
1063246;15;0,535703585339059
1063246;16;0,474583042045341
1063246;17;0,568061520023969
1063246;18;0,334365325077399
1063246;19;0,34634974533107
1063246;20;0,340357535204235
1063246;21;0,200139818236293
1063246;22;0,230100868870468
1063246;23;1,39738340157795
1063511;0;0,148852098234382
1063511;1;0,129645375881559
1063511;2;0,184864702645926
1063511;3;0,390136547791727
1063511;4;0,896713849847447
1063511;5;1,57495123293153
1063511;6;1,40449157205022
1063511;7;1,95188315910569
1063511;8;2,1247436602811
1063511;9;2,23878357425099
1063511;10;2,06952433351673
1063511;11;2,19676886910419
1063511;12;1,97589156204672
1063511;13;1,8030310608713
1063511;14;1,6349722402841
1063511;15;0,83429200220077
1063511;16;0,792277297053969
1063511;17;0,279697894262992
1063511;18;0,264092432351323
1063511;19;0,205271845145801
1063511;20;0,264092432351323
1063511;21;0,129645375881559
1063511;22;0,279697894262992
1063511;23;0,225678987645676
1063988;0;0,00399866711096301
1063988;1;0,0199933355548151
1063988;2;0,0207930689770077
1063988;3;0,0447850716427857
1063988;4;0,0719760079973342
1063988;5;0,905298233922026
1063988;6;2,2808397200933
1063988;7;1,89296901032989
1063988;8;3,19653448850383
1063988;9;1,7402199266911
1063988;10;1,73622125958014
1063988;11;1,97294235254915
1063988;12;1,6002665778074
1063988;13;1,34515161612796
1063988;14;1,64985004998334
1063988;15;1,66184605131623
1063988;16;0,97407530823059
1063988;17;0,281506164611796
1063988;18;0,77734088637121
1063988;19;0,919693435521493
1063988;20;0,858113962012663
1063988;21;0,0223925358213929
1063988;22;0,0175941352882373
1063988;23;0,00559813395534822
1065322;0;0,411004044136003
1065322;1;0,457736282390534
1065322;2;0,444555394677717
1065322;3;0,411004044136003
1065322;4;0,510459833241799
1065322;5;0,499675470567677
1065322;6;2,61221229217634
1065322;7;3,94827500124819
1065322;8;0,246842078985471
1065322;9;0,342703080533227
1065322;10;0,433771032003595
1065322;11;0,781267162614209
1065322;12;0,878326426681312
1065322;13;0,192920265614858
1065322;14;0,240850766388736
1065322;15;0,722552299166209
1065322;16;2,16526037245993
1065322;17;2,434869439313
1065322;18;1,30011483349144
1065322;19;1,3528383843427
1065322;20;1,20185730690499
1065322;21;1,30011483349144
1065322;22;0,699785311298617
1065322;23;0,411004044136003
1066046;0;0,394112346049865
1066046;1;0,49744668068489
1066046;2;0,43015920696906
1066046;3;0,0781015319915891
1066046;4;0,234304595974767
1066046;5;0,973265244818264
1066046;6;1,0225292880745
1066046;7;1,1703214178432
1066046;8;1,79753679783719
1066046;9;1,33493541604085
1066046;10;0,910784019224993
